tx_date,file_date,last_name,first_name,order_type,ticker,asset_name,tx_amount
"
                                        09/23/2022
                                    ",10/17/2022,Smith,Tina,Purchase,"
AORT
","
                                        
                                            Artivion, Inc. Common Stock
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
"
                                        09/20/2022
                                    ",10/12/2022,Tuberville,Thomas H,Sale (Partial),"
MSFT
","
                                        
                                            Microsoft Corporation - Common Stock
                                        
                                        
                                        
                                            Option Type: Short Sale Strike price: $265.00
                                                
Expires: 04/21/2023
                                            
","$1,001 - $15,000"
"
                                        09/20/2022
                                    ",10/12/2022,Tuberville,Thomas H,Sale (Partial),"
X
","
                                        
                                            United States Steel Corporation Common Stock
                                        
                                        
                                        
                                            Option Type: Short Sale Strike price: $24.00
                                                
Expires: 04/21/2023
                                            
","$1,001 - $15,000"
"
                                        09/19/2022
                                    ",10/12/2022,Tuberville,Thomas H,Purchase,"
X
","
                                        
                                            United States Steel Corporation Common Stock
                                        
                                        
                                        
                                    ","$100,001 - $250,000"
"
                                        09/19/2022
                                    ",10/12/2022,Tuberville,Thomas H,Purchase,"
MSFT
","
                                        
                                            Microsoft Corporation - Common Stock
                                        
                                        
                                        
                                    ","$250,001 - $500,000"
"
                                        09/19/2022
                                    ",10/12/2022,Tuberville,Thomas H,Purchase,"
ARKK
","
                                        
                                            Ark Innovation ETF
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        09/12/2022
                                    ",10/12/2022,Tuberville,Thomas H,Sale (Full),"
F
","
                                        
                                            Ford Motor Company Common Stock
                                        
                                        
                                        
                                            Option Type: Short Sale Strike price: $17.00
                                                
Expires: 06/16/2023
                                            
","$15,001 - $50,000"
"
                                        09/12/2022
                                    ",10/12/2022,Tuberville,Thomas H,Purchase,"
F
","
                                        
                                            Ford Motor Company Common Stock
                                        
                                        
                                        
                                            Option Type: Put Strike price: $17.00
                                                
Expires: 09/16/2022
                                            
","$1,001 - $15,000"
"
                                        09/12/2022
                                    ",10/12/2022,Tuberville,Thomas H,Purchase,"
F
","
                                        
                                            Ford Motor Company Common Stock
                                        
                                        
                                        
                                            Option Type: Put Strike price: $17.00
                                                
Expires: 09/16/2022
                                            
","$1,001 - $15,000"
"
                                        09/07/2022
                                    ",10/12/2022,Tuberville,Thomas H,Sale (Full),"
ECOM
","
                                        
                                            ChannelAdvisor Corporation Common Stock
                                        
                                        
                                        
                                    ","$500,001 - $1,000,000"
"
                                        09/07/2022
                                    ",10/12/2022,Tuberville,Thomas H,Purchase,"
ARKK
","
                                        
                                            Ark Innovation ETF
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
"
                                        09/06/2022
                                    ",10/12/2022,Tuberville,Thomas H,Purchase,"
NU
","
                                        
                                            Nu Holdings Ltd. Class A Ordinary Shares
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        09/19/2022
                                    ",10/04/2022,Carper,Thomas R,Sale (Full),"
SH
","
                                        
                                            ProShares Short S&P500
                                        
                                        
                                        
                                            

                                            
                                        
                                    ","$1,001 - $15,000"
"
                                        09/19/2022
                                    ",10/04/2022,Carper,Thomas R,Sale (Full),"
SH
","
                                        
                                            ProShares Short S&P500
                                        
                                        
                                        
                                            

                                            
                                        
                                    ","$1,001 - $15,000"
"
                                        09/19/2022
                                    ",10/04/2022,Carper,Thomas R,Sale (Full),"
SH
","
                                        
                                            ProShares Short S&P500
                                        
                                        
                                        
                                            

                                            
                                        
                                    ","$15,001 - $50,000"
"
                                        09/08/2022
                                    ",10/04/2022,Carper,Thomas R,Sale (Full),"
SQM
","
                                        
                                            Sociedad Quimica y Minera S.A. Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        09/06/2022
                                    ",09/26/2022,"McConnell, Jr.",A. Mitchell,Purchase,"
WFC
","
                                        
                                            Wells Fargo & Company Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
IVV
","
                                        
                                            iShares Core S&P 500 ETF
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
EFAV
","
                                        
                                            iShares MSCI EAFE Min Vol Factor ETF
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
XLY
","
                                        
                                            SPDR Select Sector Fund - Consumer Discretionary
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
VTRS
","
                                        
                                            Viatris Inc. - Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
ABNFX
","
                                        
                                            The Bond Fd of America Class F-2 Shares
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
RSP
","
                                        
                                            Invesco S&P 500 Equal Weight ETF
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
IDV
","
                                        
                                            iShares International Select Dividend ETF
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
DHS
","
                                        
                                            Wisdomtree U.S. High Dividend Fund
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
PCNNX
","
                                        
                                            Pimco Investment Grade Credit Bond Fund Class I-
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
JHCBX
","
                                        
                                            John Hancock Bond Fund Cl C
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
ORCL
","
                                        
                                            Oracle Corporation Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
XLC
","
                                        
                                            The Communication Services Select Sector SPDR Fund
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
TSCO
","
                                        
                                            Tractor Supply Company - Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
MUB
","
                                        
                                            iShares National Muni Bond ETF
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
"
                                        08/01/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
OC
","
                                        
                                            Owens Corning Inc Common Stock New
                                        
                                        
                                        
                                    ","$15,001 - $50,000"
"
                                        08/26/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Full),"
SSYS
","
                                        
                                            Stratasys, Ltd. - Common Stock
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
"
                                        08/25/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
ARKK
","
                                        
                                            Ark Innovation ETF
                                        
                                        
                                        
                                    ","$50,001 - $100,000"
"
                                        08/18/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
MRO
","
                                        
                                            Marathon Oil Corporation Common Stock
                                        
                                        
                                        
                                            Option Type: Put Strike price: $20.00
                                                
Expires: 09/16/2022
                                            
","$1,001 - $15,000"
"
                                        08/12/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
X
","
                                        
                                            United States Steel Corporation Common Stock
                                        
                                        
                                        
                                            Option Type: Put Strike price: $20.00
                                                
Expires: 09/16/2022
                                            
","$1,001 - $15,000"
"
                                        08/11/2022
                                    ",09/15/2022,Tuberville,Thomas H,Sale (Partial),"
                                        
                                            --
                                        
                                        
                                    ","
                                        
                                            PayPal Holdings, Inc. - Common Stock
                                        
                                        
                                        
                                    ","$100,001 - $250,000"
"
                                        08/05/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
INTC
","
                                        
                                            Intel Corporation - Common Stock
                                        
                                        
                                        
                                    ","$1,001 - $15,000"
"
                                        08/05/2022
                                    ",09/15/2022,Tuberville,Thomas H,Purchase,"
INTC
","
                                        
                                            Intel Corporation - Common Stock
                                        
                                        
                                        
                                    ","$100,001 - $250,000"
